Nomor Perkara;Tanggal Register;Klasifikasi Perkara;Tahun;Sumber
0001/Pdt.G/2012/MS.LGS;02 Jan 2012;Cerai Gugat;2012;ms-langsa
0002/Pdt.G/2012/MS.LGS;02 Jan 2012;Cerai Gugat;2012;ms-langsa
0003/Pdt.G/2012/MS.LGS;03 Jan 2012;Cerai Gugat;2012;ms-langsa
0004/Pdt.G/2012/MS.LGS;03 Jan 2012;Cerai Gugat;2012;ms-langsa
0005/Pdt.G/2012/MS.LGS;03 Jan 2012;Cerai Talak;2012;ms-langsa
0001/Pdt.P/2012/MS.LGS;04 Jan 2012;Dispensasi Kawin;2012;ms-langsa
0006/Pdt.G/2012/MS.LGS;04 Jan 2012;Cerai Gugat;2012;ms-langsa
0007/Pdt.G/2012/MS.LGS;04 Jan 2012;Cerai Gugat;2012;ms-langsa
0008/Pdt.G/2012/MS.LGS;05 Jan 2012;Cerai Gugat;2012;ms-langsa
0009/Pdt.G/2012/MS.LGS;06 Jan 2012;Cerai Gugat;2012;ms-langsa
0010/Pdt.G/2012/MS.LGS;06 Jan 2012;Cerai Gugat;2012;ms-langsa
0011/Pdt.G/2012/MS.LGS;09 Jan 2012;Cerai Gugat;2012;ms-langsa
0012/Pdt.G/2012/MS.LGS;10 Jan 2012;Cerai Talak;2012;ms-langsa
0002/Pdt.P/2012/MS.LGS;11 Jan 2012;Istbat Nikah;2012;ms-langsa
0013/Pdt.G/2012/MS.LGS;11 Jan 2012;Cerai Talak;2012;ms-langsa
0014/Pdt.G/2012/MS.LGS;12 Jan 2012;Cerai Talak;2012;ms-langsa
0015/Pdt.G/2012/MS.LGS;12 Jan 2012;Cerai Talak;2012;ms-langsa
0016/Pdt.G/2012/MS.LGS;12 Jan 2012;Cerai Talak;2012;ms-langsa
0017/Pdt.G/2012/MS.LGS;12 Jan 2012;Cerai Gugat;2012;ms-langsa
0003/Pdt.P/2012/MS.LGS;13 Jan 2012;Asal Usul Anak;2012;ms-langsa
0018/Pdt.G/2012/MS.LGS;13 Jan 2012;Cerai Gugat;2012;ms-langsa
0019/Pdt.G/2012/MS.LGS;16 Jan 2012;Cerai Gugat;2012;ms-langsa
0020/Pdt.G/2012/MS.LGS;16 Jan 2012;Cerai Gugat;2012;ms-langsa
0021/Pdt.G/2012/MS.LGS;17 Jan 2012;Cerai Talak;2012;ms-langsa
0022/Pdt.G/2012/MS.LGS;18 Jan 2012;Cerai Gugat;2012;ms-langsa
0023/Pdt.G/2012/MS.LGS;18 Jan 2012;Cerai Talak;2012;ms-langsa
0024/Pdt.G/2012/MS.LGS;24 Jan 2012;Cerai Gugat;2012;ms-langsa
0025/Pdt.G/2012/MS.LGS;24 Jan 2012;Cerai Gugat;2012;ms-langsa
0026/Pdt.G/2012/MS.LGS;24 Jan 2012;Cerai Gugat;2012;ms-langsa
0027/Pdt.G/2012/MS.LGS;24 Jan 2012;Cerai Gugat;2012;ms-langsa
0028/Pdt.G/2012/MS.LGS;26 Jan 2012;Cerai Gugat;2012;ms-langsa
0029/Pdt.G/2012/MS.LGS;27 Jan 2012;Cerai Gugat;2012;ms-langsa
0030/Pdt.G/2012/MS.LGS;30 Jan 2012;Cerai Gugat;2012;ms-langsa
0031/Pdt.G/2012/MS.LGS;31 Jan 2012;Cerai Gugat;2012;ms-langsa
0032/Pdt.G/2012/MS.LGS;31 Jan 2012;Pembatalan Perkawinan;2012;ms-langsa
0033/Pdt.G/2012/MS.LGS;31 Jan 2012;Cerai Talak;2012;ms-langsa
0034/Pdt.G/2012/MS.LGS;31 Jan 2012;Cerai Gugat;2012;ms-langsa
0035/Pdt.G/2012/MS.LGS;01 Feb 2012;Cerai Gugat;2012;ms-langsa
0036/Pdt.G/2012/MS.LGS;01 Feb 2012;Cerai Gugat;2012;ms-langsa
0037/Pdt.G/2012/MS.LGS;01 Feb 2012;Cerai Gugat;2012;ms-langsa
0038/Pdt.G/2012/MS.LGS;02 Feb 2012;Cerai Gugat;2012;ms-langsa
0004/Pdt.P/2012/MS.LGS;07 Feb 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0039/Pdt.G/2012/MS.LGS;07 Feb 2012;Cerai Gugat;2012;ms-langsa
0040/Pdt.G/2012/MS.LGS;07 Feb 2012;Cerai Talak;2012;ms-langsa
0041/Pdt.G/2012/MS.LGS;07 Feb 2012;Cerai Talak;2012;ms-langsa
0005/Pdt.P/2012/MS.LGS;08 Feb 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0042/Pdt.G/2012/MS.LGS;13 Feb 2012;Cerai Talak;2012;ms-langsa
0043/Pdt.G/2012/MS.LGS;14 Feb 2012;Cerai Talak;2012;ms-langsa
0006/Pdt.P/2012/MS.LGS;16 Feb 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0044/Pdt.G/2012/MS.LGS;21 Feb 2012;Cerai Gugat;2012;ms-langsa
0045/Pdt.G/2012/MS.LGS;21 Feb 2012;Cerai Gugat;2012;ms-langsa
0046/Pdt.G/2012/MS.LGS;22 Feb 2012;Cerai Gugat;2012;ms-langsa
0047/Pdt.G/2012/MS.LGS;23 Feb 2012;Cerai Gugat;2012;ms-langsa
0048/Pdt.G/2012/MS.LGS;23 Feb 2012;Cerai Gugat;2012;ms-langsa
0007/Pdt.P/2012/MS.LGS;24 Feb 2012;Asal Usul Anak;2012;ms-langsa
0049/Pdt.G/2012/MS.LGS;27 Feb 2012;Cerai Gugat;2012;ms-langsa
0050/Pdt.G/2012/MS.LGS;27 Feb 2012;Cerai Talak;2012;ms-langsa
0051/Pdt.G/2012/MS.LGS;27 Feb 2012;Cerai Gugat;2012;ms-langsa
0052/Pdt.G/2012/MS.LGS;01 Mar 2012;Cerai Gugat;2012;ms-langsa
0053/Pdt.G/2012/MS.LGS;01 Mar 2012;Cerai Talak;2012;ms-langsa
0054/Pdt.G/2012/MS.LGS;05 Mar 2012;Cerai Talak;2012;ms-langsa
0055/Pdt.G/2012/MS.LGS;06 Mar 2012;Cerai Talak;2012;ms-langsa
0056/Pdt.G/2012/MS.LGS;06 Mar 2012;Cerai Gugat;2012;ms-langsa
0008/Pdt.P/2012/MS.LGS;07 Mar 2012;Asal Usul Anak;2012;ms-langsa
0057/Pdt.G/2012/MS.LGS;07 Mar 2012;Cerai Talak;2012;ms-langsa
0058/Pdt.G/2012/MS.LGS;08 Mar 2012;Cerai Gugat;2012;ms-langsa
0059/Pdt.G/2012/MS.LGS;08 Mar 2012;Cerai Gugat;2012;ms-langsa
0060/Pdt.G/2012/MS.LGS;09 Mar 2012;Cerai Gugat;2012;ms-langsa
0061/Pdt.G/2012/MS.LGS;09 Mar 2012;Cerai Gugat;2012;ms-langsa
0062/Pdt.G/2012/MS.LGS;14 Mar 2012;Cerai Gugat;2012;ms-langsa
0064/Pdt.G/2012/MS.LGS;14 Mar 2012;Cerai Gugat;2012;ms-langsa
0065/Pdt.G/2012/MS.LGS;15 Mar 2012;Cerai Talak;2012;ms-langsa
0066/Pdt.G/2012/MS.LGS;15 Mar 2012;Cerai Talak;2012;ms-langsa
0067/Pdt.G/2012/MS.LGS;16 Mar 2012;Cerai Gugat;2012;ms-langsa
0068/Pdt.G/2012/MS.LGS;19 Mar 2012;Cerai Talak;2012;ms-langsa
0069/Pdt.G/2012/MS.LGS;21 Mar 2012;Cerai Talak;2012;ms-langsa
0070/Pdt.G/2012/MS.LGS;22 Mar 2012;Cerai Gugat;2012;ms-langsa
0071/Pdt.G/2012/MS.LGS;22 Mar 2012;Cerai Gugat;2012;ms-langsa
0072/Pdt.G/2012/MS.LGS;22 Mar 2012;Cerai Talak;2012;ms-langsa
0073/Pdt.G/2012/MS.LGS;26 Mar 2012;Cerai Gugat;2012;ms-langsa
0074/Pdt.G/2012/MS.LGS;26 Mar 2012;Cerai Gugat;2012;ms-langsa
